County,State,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Median Age,lon,lat,Adult.obesity,Diabetes,Uninsured,Unemployment
Daviess County, Indiana,25.5,74.5,12.2,5.6,67.05,24879.98318,94.1,0.35,0.3,0.4,0.8,4.05,26.15,9.4,30926,30.9,13.45,0.396,18.3,22.25,17.9,19.8,2.5,12.95,24.65,35.4,-87.0769883,38.6961554,0.314,0.113,0.21,0.061
Dearborn County, Indiana,11.5,88.5,16.9,5.5,80.1,31746.89651,96.9,0.55,0.1,0.4,1.2,0.9,8.3,6,49827,60.9,6.85,0.378,8.55,26.4,16.7,26.05,0.3,13,17.55,39.6,-84.9734596,39.1514914,0.339,0.102,0.133,0.085
Decatur County, Indiana,15.4,84.6,14.8,5.9,74.1,27863.70064,96.35,0.2,0.05,1.3,0.8,1.35,18.9,7.75,25403,39.9,10.5,0.408,15.95,25,14.25,22.85,1.35,8.4,28.15,37.4,-85.499831,39.3059799,0.286,0.102,0.168,0.088
DeKalb County, Indiana,11.8,88.2,15.7,5.4,77.55,27492.80857,95.75,0.2,0.15,0.4,1.15,2.3,11.65,6.85,41991,48.5,8.95,0.376,11.3,25.95,15.05,21.15,0.85,8.5,28.45,37.1,-85.0001854,41.4011894,0.29,0.097,0.162,0.089
Delaware County, Indiana,15.5,84.5,22.4,9.6,81.55,19166.48127,88.5,6.25,0.25,1,2.35,1.6,27.5,6.5,116609,42.3,19.9,0.449,21.35,30.1,21.05,26.45,0.25,7.15,14.9,34.7,-85.3988555,40.2271653,0.332,0.105,0.168,0.095
Dubois County, Indiana,15.4,84.6,20.2,7.6,76.35,30255.95302,93.05,0.2,0.1,0.5,0.55,5.6,13.2,11.4,41548,45.4,8.85,0.402,11.45,27.2,13.2,23.3,1.45,9.3,25.55,39.6,-86.8733845,38.3733441,0.341,0.096,0.152,0.058
Elkhart County, Indiana,20,80,18.1,6,71.8,26971.72159,77.45,5.35,0.25,1.15,1.8,14.05,25.6,8.7,197705,26.9,13.3,0.428,20.6,24.95,13.15,23.1,0.3,7.6,30.9,34.4,-85.8639864,41.6006928,0.295,0.093,0.21,0.096
Fayette County, Indiana,23.1,76.9,8.8,4,74.65,24982.91175,96.3,1.35,0.05,0.35,1.1,0.85,24.85,10.25,24295,26.4,19.95,0.423,28,23.85,20,19.65,0.05,9.3,27.15,40.2,-85.1850315,39.6396552,0.344,0.115,0.17,0.115
Floyd County, Indiana,12.7,87.3,22.1,7.6,77.25,31033.73524,89.95,5.05,0.15,0.8,1.8,2.2,24.1,8.2,73804,44.7,10.65,0.415,15.8,33.1,13.95,27.25,0.35,10.2,15.1,38.6,-85.9114742,38.3179365,0.295,0.098,0.143,0.076
Fountain County, Indiana,16.8,83.2,10.8,4.4,76.35,27549.80254,96.45,0.15,0.2,0.3,0.95,2,21.4,9.9,17157,42.6,12.95,0.389,17.65,22.7,15,17.05,2.05,10.25,32.95,41.5,-87.2348063,40.1212817,0.306,0.123,0.157,0.087
Franklin County, Indiana,14.6,85.4,16.5,5.9,76.7,29382.71334,98.4,0.05,0.05,0.15,0.45,0.8,17.7,11.35,23080,27.1,11.4,0.41,16.05,28.1,15.95,20.9,0.75,12.15,22.15,39.6,-85.0669641,39.4097621,0.286,0.132,0.15,0.083
Fulton County, Indiana,14.3,85.7,14,5.4,70.85,25563.88921,93.45,0.95,0.25,0.4,1.1,3.85,28.7,6.8,20543,24.5,12.1,0.415,17.5,24.25,15.6,19.6,0.9,10.7,28.95,40,-86.265006,41.0503837,0.316,0.107,0.176,0.086
Gibson County, Indiana,11.4,88.6,14.3,4,77.75,28328.56984,95,2.15,0.2,0.35,1.2,1.15,19.95,8.95,33168,59.5,11.65,0.409,15.4,22.1,16.45,20,1,11.1,29.35,40.1,-87.5805656,38.3174127,0.292,0.102,0.128,0.074
Grant County, Indiana,16.7,83.3,15.4,6.3,77.15,22025.94921,86.95,7.15,0.35,0.6,1.7,3.25,31.85,9.25,69632,26.9,17.15,0.425,24.8,29.4,19.2,23.9,0.3,7.7,19.55,39.1,-85.6549455,40.5157575,0.317,0.131,0.172,0.099
Greene County, Indiana,16.8,83.2,11.1,4.6,77.55,25870.39588,97.35,0.05,0.25,0.2,1,1.05,32.1,8.7,32940,43.3,15.25,0.415,22.9,25.85,16.65,22.3,1.4,14.7,19.15,41.2,-87.0052452,39.0486004,0.331,0.133,0.172,0.093
Hamilton County, Indiana,3.9,96.1,53.8,17.9,84.85,41150.90286,87.3,3.35,0.15,4.35,1.7,3.15,5.25,3.4,267948,61.9,4.55,0.423,5.75,49.8,11.25,27.65,0.1,4.75,6.35,35.3,-86.0205856,40.0498703,0.22,0.075,0.094,0.058
Hancock County, Indiana,9.3,90.7,24.2,8.1,77.65,35375.73333,94.3,2.05,0.15,0.8,1.2,1.6,8.75,5.15,67889,43.1,6.6,0.396,7.1,34.7,14,25.75,0.45,11.65,13.55,38.4,-85.7729036,39.8226041,0.288,0.096,0.125,0.071
Harrison County, Indiana,11.6,88.4,14.4,4.7,76.95,27907.3273,96.4,0.4,0.2,0.65,1.1,1.25,13,5.75,38168,42.8,9.7,0.394,15.1,24.15,14,24.3,0.85,13.05,23.7,39.3,-86.1036808,38.1864398,0.31,0.109,0.156,0.075
Hendricks County, Indiana,6.6,93.4,31.2,9.6,80.7,36228.51238,89.7,4.4,0.2,1.8,1.35,2.6,8.45,5.3,139698,44.3,5.6,0.37,7.2,37.1,12.05,27.6,0.2,10.05,13,36.5,-86.5102865,39.7687487,0.318,0.09,0.108,0.066
Henry County, Indiana,16.5,83.5,13.8,4.6,76.95,27328.42095,95.7,1.85,0.1,0.2,1,1.2,30.7,9,48471,45.1,13.15,0.401,18.1,25.65,17.85,23.8,0.35,10.45,21.9,40.9,-85.3973378,39.929576,0.297,0.106,0.172,0.099
Howard County, Indiana,13.7,86.3,19.7,8.3,74.65,26994.99969,87.55,6.8,0.25,1.05,1.9,2.45,30.7,4.95,83218,32,16.15,0.423,26.15,28.35,18.5,22.75,0.1,9.25,21,39.7,-86.1141178,40.4835368,0.378,0.13,0.145,0.092
Huntington County, Indiana,12.2,87.8,14.8,5.5,77.15,26399.74095,96.4,0.2,0.3,0.4,1.15,1.45,15.7,8.4,37507,34.3,11.2,0.397,15.9,25.05,16,23.45,0.55,9.35,25.65,38.6,-85.4785975,40.8263938,0.348,0.123,0.153,0.084
Jackson County, Indiana,15.8,84.2,13.8,4.9,71.95,26963.93619,91.9,0.55,0.25,0.75,0.95,5.5,18.7,6.3,42253,36.3,11.65,0.393,15.15,24.95,14.55,22.6,1.05,8.7,28.1,37.9,-86.0425161,38.9119571,0.316,0.102,0.183,0.072
Jasper County, Indiana,12.4,87.6,14.2,4.1,76.6,28266.45334,93.4,0.65,0.2,0.3,0.7,4.7,17.45,5.6,32837,47.9,9.25,0.358,14.3,25.9,15.85,22.9,1.55,15.7,18.2,37.5,-87.1188137,41.0176883,0.335,0.117,0.153,0.085
Jay County, Indiana,15.7,84.3,10.7,3.4,76.05,24562.3381,95.4,0.15,0.05,0.25,1.4,2.8,29.35,8.45,21261,31.1,13.65,0.379,22,23.1,16.1,19.15,0.75,9.15,31.8,38.7,-85.0033804,40.4349719,0.346,0.122,0.172,0.073
Jefferson County, Indiana,16.2,83.8,18.2,8.4,77.1,24184.57905,94.2,1.6,0.15,0.75,1.35,1.9,22.4,10.6,32528,35.3,14.6,0.423,20,26.75,18.05,21,1.3,8.45,24.45,39.4,-85.44009,38.7836039,0.318,0.106,0.175,0.082
Jennings County, Indiana,18.7,81.3,7.5,2.2,72.95,26165.19492,96.05,0.8,0.2,0.2,0.95,1.75,21.75,5.65,28288,27.2,12.15,0.364,15.5,23.25,16.15,18.6,0.6,10.2,31.15,37.6,-85.6281106,38.9962339,0.284,0.104,0.174,0.101
Johnson County, Indiana,9.7,90.3,26.2,8.6,75.5,32133.41746,92.95,1.3,0.15,1.65,1.3,2.65,13.25,4.8,137867,32.6,7.8,0.399,10.55,34.35,15.1,26.4,0.25,9.45,14.45,36.4,-86.0946003,39.4959859,0.291,0.105,0.131,0.07
Knox County, Indiana,14.7,85.3,14.9,5.3,75.9,23601.27969,94.5,2.25,0.15,0.65,1.15,1.3,31.95,11.7,38205,32.4,16.85,0.444,23.8,26.4,21.05,23.25,1.3,9.45,18.6,38.4,-87.4201823,38.6886629,0.331,0.102,0.165,0.067
Kosciusko County, Indiana,15.3,84.7,20.2,7.2,69.95,27945.80921,90.15,0.65,0.2,0.85,1.05,7.1,14.15,5.6,76727,31.1,9.75,0.397,13.4,26.6,13.05,22.95,0.6,7.85,29,37.2,-85.8615754,41.2442928,0.308,0.107,0.197,0.074
LaGrange County, Indiana,40.3,59.7,10.4,4.1,58.2,27495.60095,93.2,0.2,0.15,0.5,2.25,3.6,27.1,16.05,36992,11.4,14.85,0.385,21.55,21.6,11.85,16.45,1.3,13.2,35.6,30.4,-85.4263018,41.6424683,0.327,0.109,0.253,0.079
Lake County, Indiana,13.9,86.1,18.9,6.3,77.75,29506.74254,56.4,25.2,0.2,1.2,1.4,15.6,30.55,8.7,493604,41.8,16.3,0.43,25.6,28.4,17.55,25.35,0.2,10.75,17.75,36.9,-87.3743368,41.4722388,0.359,0.124,0.181,0.095
LaPorte County, Indiana,14.6,85.4,16.7,5.8,74.55,27441.95715,82.2,10.45,0.2,0.5,1.75,4.95,24.6,7.15,110784,41.8,13.15,0.418,21.65,25.7,17.3,24.35,0.4,11.75,20.55,39.2,-86.7447293,41.5490111,0.318,0.103,0.172,0.1
Lawrence County, Indiana,19,81,12.5,4.6,75.05,25835.16476,96.55,0.5,0.3,0.5,1.05,1.15,22.6,10.7,46012,45.4,15.65,0.429,22.6,25.1,18.6,21.65,0.55,12.35,21.75,41,-86.4878198,38.8398148,0.293,0.14,0.176,0.107
Madison County, Indiana,13.6,86.4,16.6,6,71.7,26616.88953,86.85,7.8,0.15,0.4,2.05,2.75,28.8,7.6,131325,30.6,13.9,0.408,20.8,28.05,18.6,25.1,0.45,10,17.8,39,-85.7224543,40.166203,0.373,0.124,0.164,0.097
Marion County, Indiana,16,84,27.3,9.5,73.05,27984.64286,61.9,25.6,0.15,1.8,2.4,8.15,29.05,9.1,891137,41.2,16.95,0.46,24.95,33.95,17.3,26.85,0.15,8.15,13.55,34,-86.1357939,39.7829759,0.319,0.106,0.186,0.087
Marshall County, Indiana,16.7,83.3,17.1,6.5,73.7,27675.03492,89.35,0.4,0.2,0.45,1.1,8.5,23.6,11.3,46828,28.1,11.6,0.406,15.85,26.3,14.25,20.95,1,11.1,26.4,37.7,-86.2690363,41.3250032,0.314,0.103,0.191,0.089
Martin County, Indiana,18.8,81.2,8.5,3.5,74.3,26599.97461,97.9,0.05,0.15,0.25,0.65,1,27.75,8.55,10200,43.5,12.95,0.394,20.7,26.5,14.75,19.95,1.15,11.45,26.2,42.1,-86.8018468,38.705322,0.291,0.102,0.156,0.067
Miami County, Indiana,18.1,81.9,10.2,3.7,76.85,22937.29746,90.45,4.4,0.85,0.25,2,2.1,29.8,10,36705,44.5,16.3,0.41,26.1,25.2,20.7,18.45,0.75,10.35,24.5,39.9,-86.0442585,40.7728813,0.33,0.114,0.176,0.103
Monroe County, Indiana,8.9,91.1,42.7,21,86.05,16130.20032,87,3.2,0.2,4.8,2.15,2.6,21.6,7.55,132914,47.1,25.15,0.503,18.55,42,18.7,21.95,0.15,6.3,10.9,27.5,-86.5233253,39.1607509,0.253,0.088,0.177,0.069
Montgomery County, Indiana,13.2,86.8,17.5,6.3,76.1,25852.79905,93.4,0.85,0.2,0.45,1.1,4,28,5.65,37976,35.8,11.3,0.397,17.5,26.25,14,22.85,1.05,8.3,27.6,39,-86.8927145,40.0402962,0.312,0.106,0.168,0.084
Morgan County, Indiana,15,85,13.9,4.5,76.6,30293.29969,96.9,0.4,0.25,0.35,1,1.1,15.5,6.65,69536,35.3,9.45,0.388,13.65,26.8,16.25,24.15,0.2,15.55,17.1,39.1,-86.4474573,39.4826458,0.332,0.104,0.153,0.081
Newton County, Indiana,14.2,85.8,9.5,2.7,77.8,26581.82603,93.6,0.45,0.1,0.35,0.95,4.55,3.95,5.2,14109,43.7,8.1,0.403,11.35,22.8,12.85,21.15,2.5,13.5,27.1,42,-87.4021716,40.9623985,0.341,0.119,0.18,0.098
Noble County, Indiana,18.8,81.2,13,4.5,73.5,27629.18826,87.95,0.3,0.15,0.4,1.15,10.15,17.2,6.4,47632,30.2,11.1,0.358,16.1,22.25,12.9,18.45,1.4,9.55,35.4,36.5,-85.4178497,41.4007941,0.339,0.102,0.197,0.092
Ohio County, Indiana,18.8,81.2,12.1,3.6,75.3,29594.56508,97.4,0.45,0.1,0.15,0.65,1.2,18.55,7.9,5999,69,7.95,0.398,10.85,19.95,21.75,25.3,0,11,22.1,41.8,-84.9642994,38.940527,0.308,0.112,0.158,0.085
Orange County, Indiana,21.3,78.7,12.5,5.4,67.3,25276.00064,96.6,1,0.35,0.2,0.85,1,36.35,15.45,19688,25.9,20.65,0.438,28.9,24.75,16.2,21.05,1.35,14.3,22.35,39.8,-86.489257,38.5473812,0.312,0.123,0.174,0.095
Owen County, Indiana,18.1,81.9,8.3,3,70.75,26270.35651,97.15,0.2,0.2,0.45,1.05,0.95,19.65,8.2,21973,26.7,12.45,0.381,18.15,21.35,16.3,20.3,0.7,14.5,26.85,41.4,-86.8388453,39.3173394,0.368,0.109,0.185,0.096
Parke County, Indiana,19.1,80.9,12.7,3.9,64.9,23493.77778,94.85,2.25,0.35,0.2,1.25,1.05,33.75,11.85,17216,38,17.5,0.401,29.65,23.7,16.5,18.8,2.3,14.5,24.2,41,-87.1969502,39.7742496,0.293,0.12,0.194,0.098
Perry County, Indiana,17.5,82.5,8.3,4,68.1,25663.90699,95.35,2.5,0.2,0.25,0.65,1.05,16.7,8.55,19105,45.7,10.55,0.403,16.15,18.1,18.55,18.25,1.3,13.45,30.35,40,-86.6265397,38.0814361,0.321,0.094,0.153,0.079
Pike County, Indiana,16.1,83.9,8.3,3,72.2,27516.43842,98.05,0.25,0.1,0.25,0.5,0.9,20.4,10.7,12670,41.4,13.65,0.395,17.55,21.2,13.05,19.15,0.5,13.4,32.65,41.9,-87.232532,38.3978982,0.315,0.118,0.152,0.077
Porter County, Indiana,8.7,91.3,25.2,8.9,80.4,31667.4908,87.05,2.65,0.2,1.15,1.3,7.6,15.75,5.05,162208,44.8,9.25,0.409,13.05,31.85,15.7,24.65,0.2,12.1,15.55,38.1,-87.0713082,41.509922,0.293,0.099,0.136,0.077
Posey County, Indiana,11,89,18.5,6.5,82.05,32564.01905,96.75,0.9,0.1,0.2,0.85,1.25,12.4,9,26077,55,8.3,0.398,12.1,28.7,11.9,24.95,0.8,11.35,22.25,40.7,-87.8686526,38.0276138,0.316,0.107,0.116,0.072
Pulaski County, Indiana,14.1,85.9,13.6,4.4,81.7,25903.37905,95.65,0.45,0.7,0.2,0.8,2.2,35.1,9,13570,54.3,16.45,0.396,27.2,30,13.4,19.2,1.75,11.7,23.95,41.5,-86.6925383,41.0452718,0.345,0.122,0.17,0.07
Putnam County, Indiana,14.9,85.1,17.6,8.4,74.8,24476.43905,92.8,3.7,0.25,0.6,1.2,1.45,13.3,7.75,37478,32.9,9.95,0.381,12.15,28.5,17.8,21.4,1.35,11.5,19.5,37.3,-86.853325,39.6655445,0.323,0.119,0.146,0.091
Randolph County, Indiana,15.3,84.7,10.4,4.4,76.9,24557.40699,95.55,0.3,0.2,0.15,1.3,2.5,23.85,9,26042,22.2,12.75,0.383,18.7,26.05,15.45,18.7,1.35,10.45,27.9,40.2,-85.005004,40.1644141,0.348,0.13,0.176,0.097
Ripley County, Indiana,15.2,84.8,14.8,4.4,77,28286.94921,96.85,0.3,0.1,0.45,0.75,1.45,20.95,8.95,28098,20,10.4,0.397,15.1,23.45,15.95,22.25,1,11.7,25.7,38.8,-85.2605409,39.1002301,0.318,0.094,0.145,0.09
Rush County, Indiana,15.2,84.8,13.2,4.9,76.35,27865.5927,96.7,1.1,0.15,0.3,0.75,1,20.95,9.8,17408,39.5,12.15,0.382,15.95,24.05,15.45,22.15,1.45,12.7,24.15,39.7,-85.4665265,39.6223123,0.324,0.113,0.162,0.079
Scott County, Indiana,25.7,74.3,9.9,3.6,71.45,26805.59588,97.25,0.2,0.1,0.35,0.75,1.4,22.8,16.5,23913,39.8,15.8,0.402,21.7,22.2,14.35,20.75,0.25,9.7,32.75,38.2,-85.7518981,38.6794309,0.285,0.116,0.168,0.098
Shelby County, Indiana,14.1,85.9,15.2,4.3,75,31298.64191,94,0.85,0.25,0.5,1.2,3.2,17.3,9.55,44200,27.7,10.05,0.436,14.4,26.65,14.9,23.6,0.4,13.1,21.35,39.7,-85.7921742,39.5241345,0.338,0.114,0.161,0.078
Spencer County, Indiana,14.3,85.7,15.9,6.5,77.45,30028.79492,96.5,0.35,0.2,0.2,0.35,2.4,23.8,13.85,20559,45.2,11.75,0.389,17.15,26.95,15.7,19.85,0.7,13.85,22.9,41.7,-87.0106449,38.0097889,0.304,0.106,0.134,0.077
St. Joseph County, Indiana,13.6,86.4,25.6,9.7,81,25850.42413,76.75,12.05,0.3,1.85,2.4,6.75,24.15,7.85,266665,39.4,14.15,0.445,20.3,32.65,16.45,26.75,0.2,7.95,16.05,35.9,-86.2881592,41.6176989,0.287,0.095,0.181,0.097
Starke County, Indiana,20.9,79.1,11.2,4.7,71.7,24178.18095,95.15,0.35,0.3,0.2,0.95,3.1,28.45,7.4,23380,35.6,15,0.396,24.1,20.3,15.1,21.55,1.2,13.5,28.4,40.2,-86.6475698,41.2832203,0.35,0.118,0.178,0.104
Steuben County, Indiana,10.6,89.4,18.9,7.1,74.9,25152.1508,92.75,0.5,0.4,0.4,3.05,2.95,20.8,7.45,33864,40.2,11.4,0.383,17.15,25.55,15.15,25.9,1.2,8.5,23.75,39,-85.0024667,41.6434372,0.327,0.129,0.17,0.089
Sullivan County, Indiana,13.9,86.1,14.1,4.7,71.2,24458.35016,93.85,3.95,0.15,0.15,0.65,1.2,22.75,12.55,21395,36.6,12.6,0.403,14.5,27,19.25,21.55,0.7,11.25,20.2,39.1,-87.4158429,39.0892251,0.315,0.109,0.16,0.111
Switzerland County, Indiana,21.9,78.1,11.4,4.6,70.65,29123.37651,98.3,0.15,0.15,0.1,0.55,0.75,21.6,8.05,10120,14.2,13.9,0.387,19.25,20.6,21.8,24.25,0.1,11.95,21.25,40.4,-85.0296787,38.8258455,0.279,0.114,0.178,0.069
Tippecanoe County, Indiana,9.5,90.5,35.7,16.4,82.85,18684.01619,81.65,3.55,0.2,5.65,1.7,7.25,22.15,5.1,167653,33,20.3,0.462,18,38.2,18.45,22.25,0.5,6.75,13.8,27.4,-86.8939426,40.3892597,0.271,0.091,0.176,0.074
Tipton County, Indiana,12.5,87.5,13.5,5,73.15,26687.58159,97.05,0.25,0.05,0.2,0.5,1.95,13.55,5.85,15995,27.3,6.4,0.362,7,27.25,16.55,21.2,1.4,13.5,20.2,41.8,-86.0562066,40.3102294,0.321,0.125,0.153,0.093
Union County, Indiana,15.2,84.8,15.2,4.1,78.8,27504.64445,97.3,0.25,0.15,0.35,0.9,1.1,31,9.25,7299,47,12.25,0.355,21,25.85,20.9,21.1,1.5,10.2,20.4,38.7,-84.9251523,39.6231109,0.332,0.115,0.169,0.086
Vanderburgh County, Indiana,12.9,87.1,21.8,7.4,77.1,26186.06667,86.35,8.65,0.15,1.05,2.05,1.75,25.7,7.9,177123,39.3,15.25,0.455,21.6,29.4,18,26.95,0.35,9.05,16.25,37.4,-87.5861659,38.0200703,0.324,0.107,0.153,0.076
Vermillion County, Indiana,14.6,85.4,12.3,4.2,76.75,26112.39778,97.3,0.1,0.35,0.2,1.1,0.95,17.8,13.2,16256,53.6,14.05,0.444,20.2,23.55,19.25,22.7,1.3,11.2,22.05,41.2,-87.4620713,39.8540452,0.283,0.127,0.155,0.112
Vigo County, Indiana,15.2,84.8,21.3,9.5,77.05,21381.42191,87.5,6.55,0.25,1.6,2.1,1.9,33.35,10.05,106641,35.6,19.6,0.452,26.6,30.2,19.5,25.1,0.2,8.85,16.1,36.1,-87.3903754,39.4291426,0.32,0.088,0.175,0.1
Wabash County, Indiana,14.6,85.4,16.3,6.1,74.05,24197.37175,95.75,0.6,0.65,0.4,0.9,1.75,18.7,8.65,32946,34.5,11.85,0.386,16.15,28.7,15.4,20.5,1.55,9.05,24.75,40.8,-85.7951745,40.8437166,0.368,0.132,0.154,0.086
Warren County, Indiana,16.8,83.2,13.1,4.1,75.15,28566.68064,97.9,0.05,0.1,0.55,0.9,0.5,23.3,7.9,8540,54.1,9.8,0.407,13.9,27.05,15.05,19.6,1.25,12.4,24.65,41.8,-87.3758466,40.3526584,0.285,0.124,0.151,0.065
Warrick County, Indiana,8.7,91.3,25.6,9.3,79.8,31488.81873,94.45,1.15,0.15,1.35,1.55,1.4,9.55,6.75,58377,54.4,6.25,0.435,7.15,33.4,14.65,27.1,0.3,10.2,14.4,39.6,-87.2720225,38.0977639,0.324,0.103,0.118,0.068
Washington County, Indiana,20.4,79.6,10.5,5.2,72.1,25078.17969,97.35,0.15,0.1,0.45,0.9,1.05,25.2,15.15,28021,34.9,16.65,0.409,24.1,23.25,17.45,20.15,1.05,11.5,26.55,38.2,-86.1047514,38.6006125,0.305,0.103,0.174,0.086
Wayne County, Indiana,17.4,82.6,15.8,6.4,75.85,25641.6308,89.7,4.8,0.15,0.75,2.35,2.35,32.35,8.95,68534,43.2,15.5,0.432,23.45,28.35,18.7,22.45,0.5,8.75,21.25,40.1,-85.0067352,39.8630908,0.282,0.094,0.176,0.103
Wells County, Indiana,10.6,89.4,14,4.9,73.7,27537.98635,96.45,0.45,0.3,0.25,0.6,1.95,9.1,5.1,27678,28.9,7.75,0.393,10.05,26.55,15.35,24.2,1.1,8.65,24.15,40,-85.2129742,40.7352727,0.286,0.108,0.142,0.074
White County, Indiana,13.2,86.8,14.5,5.3,73.5,25549.49397,90.7,0.15,0.35,0.3,0.9,7.55,16.2,5.3,24241,28,10.1,0.381,13.85,25.4,17.85,22.15,2.6,9.75,22.35,41.9,-86.8642934,40.7509496,0.346,0.106,0.193,0.081
Whitley County, Indiana,9.8,90.2,16.6,5.3,72.7,29897.92381,96.7,0.25,0.1,0.3,1.25,1.35,11.15,7.85,32898,34.5,6.85,0.387,8.1,25.35,12.75,23.7,0.9,10.55,26.75,38.8,-85.5018918,41.1364261,0.337,0.09,0.14,0.079
Adair County, Iowa,8.6,91.4,13.6,2.8,75.35,28412.52508,98,0.05,0.1,0.25,0.65,0.95,22.95,12.2,7618,49.2,10.95,0.408,13.95,30.8,12,22.15,1.1,10.45,23.5,44.8,-94.4781643,41.3285283,0.318,0.11,0.104,0.042
Adams County, Iowa,11,89,15.6,4.4,78.65,24250.6873,97.15,0.1,0.7,0.3,0.4,1.25,12.75,16.6,4050,35.1,10.5,0.458,8.25,31.8,17.85,18.8,1.35,11.75,18.5,45.7,-94.6969059,41.0216555,0.338,0.094,0.126,0.044
Allamakee County, Iowa,13.1,86.9,13.5,3.7,79.5,22688.39365,92.25,0.5,0.1,0.25,0.3,6.6,23.65,10.1,14375,62.7,11,0.359,15.7,25.6,17,18.35,2.3,12.1,24.7,43.4,-91.382751,43.2749637,0.28,0.09,0.162,0.069
Appanoose County, Iowa,12.9,87.1,16.6,5.3,74.5,23358.27715,96.8,0.35,0.1,0.5,0.95,1.3,33.8,12.15,12931,50.8,16.35,0.451,21.65,29.2,16.65,23.35,1.75,7.85,21.25,43.4,-92.870345,40.7446826,0.3,0.09,0.123,0.069
Audubon County, Iowa,13.4,86.6,15,3.6,76.25,23835.91111,98.15,0.05,0.2,0.2,0.35,1.1,27.15,9.85,6129,43.3,11.1,0.428,16.05,31.8,20.9,17.65,2.9,7.55,19.15,46,-94.9043119,41.679178,0.341,0.106,0.129,0.052
Benton County, Iowa,7.4,92.6,17.8,4.3,84.2,30373.86572,97.45,0.45,0.1,0.2,0.9,0.95,13.9,5.35,26352,52.5,7.6,0.378,10.4,28.55,14.75,22.8,1.9,12.95,19.15,40,-92.05763,42.0925474,0.297,0.09,0.092,0.053
Black Hawk County, Iowa,11.2,88.8,24.6,7.8,78.25,23121.45492,85.05,8.35,0.2,1.2,2.05,3.25,24.7,7.15,129229,43.5,16.85,0.438,20.95,29.95,18.4,25.65,0.6,6.95,18.45,34.7,-92.306059,42.4728884,0.285,0.09,0.112,0.054
Boone County, Iowa,7.9,92.1,19.6,4.6,78.5,27864.56222,96.45,0.7,0.15,0.3,0.8,1.55,19.85,7.85,26264,38.7,11.25,0.407,14.9,30.25,17,24.1,1.4,9.05,18.3,40.2,-93.9391375,42.0386005,0.32,0.089,0.095,0.044
Bremer County, Iowa,6.4,93.6,26.5,7.5,83.65,29465.88984,96.9,0.5,0.05,0.7,0.9,0.9,7.4,7.2,23890,39.5,8.05,0.402,6.85,35.85,15.3,23.75,1.1,8.4,15.6,38.8,-92.3275863,42.7808902,0.281,0.091,0.076,0.039
Buchanan County, Iowa,9.5,90.5,18.5,5,75.7,27996.89905,97.25,0.35,0.2,0.5,0.7,1.05,15.4,9.2,20934,55.3,10.15,0.379,14.3,29.1,14.5,20.85,1.75,11.65,22.2,38.4,-91.8386658,42.4703284,0.3,0.098,0.103,0.051
Buena Vista County, Iowa,20.5,79.5,22.6,6.8,80.75,23662.77746,70.45,1.95,0.1,4.8,1.2,21.5,18.65,8.95,19916,32.6,11.85,0.414,16.9,27.05,14.7,20.7,2.75,9.25,25.6,36.9,-95.1414325,42.741522,0.274,0.084,0.152,0.045
Butler County, Iowa,12,88,14.9,3.5,78.1,27898.23556,98,0.2,0.15,0.2,0.6,0.9,24.85,11.15,14724,51.6,10.55,0.399,15.7,26.3,14.15,24.1,1.9,8.7,24.8,43.4,-92.7800664,42.7347076,0.272,0.082,0.106,0.044
Calhoun County, Iowa,9.3,90.7,18,4.3,81.2,25167.59016,96.9,0.65,0.15,0.2,0.95,1.1,21.9,10.25,9817,60.4,10.9,0.422,16,31.95,22.45,22.45,1.2,7.05,14.9,47.5,-94.6436829,42.3861699,0.304,0.108,0.108,0.048
Carroll County, Iowa,10.4,89.6,20,3.8,77.15,27503.02222,97.1,0.2,0.1,0.6,0.55,1.5,18.35,11.7,20790,48.2,10.65,0.424,14.3,28.2,17.2,25.85,2.15,9.3,17.35,42.2,-94.8676471,42.039492,0.317,0.081,0.091,0.037
Cass County, Iowa,8.9,91.1,14.5,3.5,72.05,23159.97175,97.05,0.3,0.15,0.15,0.65,1.6,26.6,8,13905,64.2,14.55,0.402,22.85,28,16.25,24.3,2.85,10.95,17.65,44.6,-94.9333023,41.3338235,0.354,0.086,0.113,0.053
Cedar County, Iowa,8,92,18.6,4.8,78.15,30377.92445,96.85,0.15,0.2,0.4,0.95,1.45,16.9,7.5,18243,55,7.45,0.352,10.95,31.1,14.8,22.45,1.1,12.3,18.3,42.1,-91.13219,41.7723547,0.354,0.102,0.089,0.045
